partido_id,set_num,set_num_norm,strength_h,strength_a,strength_diff,set_wr_h,set_wr_a,diff_set_wr,forma_h,forma_a,diff_forma,pts_fav_h,pts_fav_a,h2h_diff,sets_h_antes,sets_a_antes,diff_sets_antes,momentum_h,es_desempate,ganador_set_local
2025/2026_Cuneo_Piace_3Round,3,0.5,0.5303,0.4211,0.10920000000000002,0.497,0.5158,-0.01880000000000004,0.4667,0.3571,0.10960000000000003,3.1179,2.614,0.0,2,0,2,1.0,0,1
2025/2026_Cuneo_Piace_4Round,1,0.0,0.4286,0.5294,-0.1008,0.5154,0.498,0.01739999999999997,0.6,0.5333,0.06669999999999998,2.5561,2.5824,0.0,0,0,0,0.5,0,1
2025/2026_Cuneo_Piace_4Round,2,0.25,0.4286,0.5294,-0.1008,0.5154,0.498,0.01739999999999997,0.6,0.5333,0.06669999999999998,2.5561,2.5824,0.0,1,0,1,1.0,0,1
2025/2026_Cuneo_Piace_4Round,3,0.5,0.4286,0.5294,-0.1008,0.5154,0.498,0.01739999999999997,0.6,0.5333,0.06669999999999998,2.5561,2.5824,0.0,2,0,2,1.0,0,0
2025/2026_Cuneo_Piace_4Round,4,0.75,0.4286,0.5294,-0.1008,0.5154,0.498,0.01739999999999997,0.6,0.5333,0.06669999999999998,2.5561,2.5824,0.0,2,1,1,0.0,0,0
2025/2026_Cuneo_Piace_4Round,5,1.0,0.4286,0.5294,-0.1008,0.5154,0.498,0.01739999999999997,0.6,0.5333,0.06669999999999998,2.5561,2.5824,0.0,2,2,0,0.0,1,0
2025/2026_Cuneo_Trent_6Round,1,0.0,0.4167,0.5667,-0.14999999999999997,0.5094,0.4992,0.010199999999999987,0.4667,0.5333,-0.06659999999999999,2.3367,2.8799,0.0,0,0,0,0.5,0,1
2025/2026_Cuneo_Trent_6Round,2,0.25,0.4167,0.5667,-0.14999999999999997,0.5094,0.4992,0.010199999999999987,0.4667,0.5333,-0.06659999999999999,2.3367,2.8799,0.0,1,0,1,1.0,0,0
2025/2026_Cuneo_Trent_6Round,3,0.5,0.4167,0.5667,-0.14999999999999997,0.5094,0.4992,0.010199999999999987,0.4667,0.5333,-0.06659999999999999,2.3367,2.8799,0.0,1,1,0,0.0,0,0
2025/2026_Cuneo_Trent_6Round,4,0.75,0.4167,0.5667,-0.14999999999999997,0.5094,0.4992,0.010199999999999987,0.4667,0.5333,-0.06659999999999999,2.3367,2.8799,0.0,1,2,-1,0.0,0,0
2025/2026_Cuneo_Trent_8Round,1,0.0,0.5699,0.3793,0.19059999999999994,0.5,0.476,0.02400000000000002,0.6,0.4,0.19999999999999996,2.7254,2.0249,0.0,0,0,0,0.5,0,1
2025/2026_Cuneo_Trent_8Round,2,0.25,0.5699,0.3793,0.19059999999999994,0.5,0.476,0.02400000000000002,0.6,0.4,0.19999999999999996,2.7254,2.0249,0.0,1,0,1,1.0,0,1
2025/2026_Cuneo_Trent_8Round,3,0.5,0.5699,0.3793,0.19059999999999994,0.5,0.476,0.02400000000000002,0.6,0.4,0.19999999999999996,2.7254,2.0249,0.0,2,0,2,1.0,0,1
2025/2026_Cuneo_Veron_10Round,1,0.0,0.3333,0.567,-0.23369999999999996,0.4461,0.4887,-0.04260000000000003,0.4,0.6,-0.19999999999999996,1.8338,2.6912,0.0,0,0,0,0.5,0,0
2025/2026_Cuneo_Veron_10Round,2,0.25,0.3333,0.567,-0.23369999999999996,0.4461,0.4887,-0.04260000000000003,0.4,0.6,-0.19999999999999996,1.8338,2.6912,0.0,0,1,-1,0.0,0,0
2025/2026_Cuneo_Veron_10Round,3,0.5,0.3333,0.567,-0.23369999999999996,0.4461,0.4887,-0.04260000000000003,0.4,0.6,-0.19999999999999996,1.8338,2.6912,0.0,0,2,-2,0.0,0,0
2025/2026_Cuneo_Veron_6Round,1,0.0,0.5506,0.4,0.15059999999999996,0.4798,0.5,-0.020199999999999996,0.5385,0.4,0.13849999999999996,3.2554,2.2123,0.0,0,0,0,0.5,0,1
2025/2026_Cuneo_Veron_6Round,2,0.25,0.5506,0.4,0.15059999999999996,0.4798,0.5,-0.020199999999999996,0.5385,0.4,0.13849999999999996,3.2554,2.2123,0.0,1,0,1,1.0,0,1
