partido_id,temporada,jornada_num,local,visitante,h_win_rate_global,h_win_rate_last5,h_win_rate_home,h_win_rate_away,h_pts_fav_exp,h_pts_con_exp,h_set_win_rate,h_set_diff_exp,h_forma_home,h_forma_away,h_ultimo_set_diff,h_racha,h_n_partidos_hist,h_h2h_set_diff_exp,h_h2h_win_rate,a_win_rate_global,a_win_rate_last5,a_win_rate_home,a_win_rate_away,a_pts_fav_exp,a_pts_con_exp,a_set_win_rate,a_set_diff_exp,a_forma_home,a_forma_away,a_ultimo_set_diff,a_racha,a_n_partidos_hist,a_h2h_set_diff_exp,a_h2h_win_rate,diff_win_rate_global,diff_win_rate_last5,diff_set_win_rate,diff_set_diff_exp,diff_pts_fav_exp,diff_pts_con_exp,diff_racha,diff_ultimo_set_diff,diff_rank_season,diff_forma_efectiva,h_descanso,a_descanso,diff_descanso,h_rank_season,a_rank_season,gana_local
2024/2025_Sir S_Trent_5Round,2024/2025,5.0,Perugia,Trento,0.6053,0.6,0.52,0.623,3.9028,3.5227,0.4955,0.3801,0.5333,0.6,1,2,66,-0.572,0.5,0.5333,0.4667,0.5172,0.5357,3.5171,3.8284,0.4895,-0.3113,0.4667,0.4667,0,1,65,-0.572,0.5,0.07199999999999995,0.13329999999999997,0.006000000000000005,0.6914,0.38569999999999993,-0.30569999999999986,1,1,13,0.06659999999999999,1.0,1.0,0.0,2,15,0
2024/2025_Bresc_Smart_6Round,2024/2025,6.0,Brescia,Fano,0.5349,0.5333,0.5455,0.5,4.7566,3.7684,0.5159,0.9882,0.5333,0.5333,3,2,33,0.0,0.5,0.3704,0.4,0.4545,0.3846,3.2175,4.223,0.4316,-1.0055,0.4545,0.4,-1,-1,17,0.0,0.5,0.16450000000000004,0.13329999999999997,0.08430000000000004,1.9937,1.5391,-0.45459999999999967,3,4,8,0.13329999999999997,1.0,1.0,0.0,8,16,1
2024/2025_Cantù_Prata_6Round,2024/2025,6.0,Cantù,Prata di Pordenone,0.5476,0.4667,0.4286,0.6129,3.7136,4.0667,0.4778,-0.3531,0.4667,0.5333,1,1,32,0.0,0.5,0.4118,0.5333,0.4667,0.4138,3.5774,4.5301,0.4591,-0.9527,0.4667,0.4667,-3,-1,24,0.0,0.5,0.13579999999999998,-0.06659999999999999,0.018699999999999994,0.5995999999999999,0.1362000000000001,-0.46340000000000003,2,4,0,0.0,2.0,1.0,1.0,16,16,0
2024/2025_Ciste_Padov_6Round,2024/2025,6.0,Cisterna,Padova,0.5,0.4,0.5,0.5,3.4991,3.5039,0.5505,-0.0048,0.4,0.5,0,-4,14,-2.043,0.2778,0.4079,0.4667,0.4286,0.4,4.2925,4.3042,0.4947,-0.0117,0.4667,0.4,0,-1,66,2.063,0.7222,0.09210000000000002,-0.06669999999999998,0.055800000000000016,0.006900000000000001,-0.7934000000000005,-0.8003,-3,0,-8,0.0,1.0,1.0,0.0,17,9,1
2024/2025_Cosed_Pinet_6Round,2024/2025,6.0,Acicastello,Pineto,0.5556,0.5333,0.5385,0.5333,3.7419,3.6235,0.5247,0.1184,0.5385,0.5333,-2,-2,8,0.0,0.5,0.4138,0.4667,0.5263,0.35,3.3162,4.0935,0.4591,-0.7773,0.4,0.4,1,1,19,0.0,0.5,0.14179999999999998,0.06659999999999999,0.06560000000000005,0.8956999999999999,0.42569999999999997,-0.46999999999999975,-3,-3,0,0.13849999999999996,1.0,1.0,0.0,9,9,1
2024/2025_Delta_Evolu_6Round,2024/2025,6.0,Porto Viro,Aversa,0.4857,0.5333,0.4828,0.5,4.136,3.5182,0.5296,0.6178,0.4667,0.4667,-4,-1,25,0.0,0.5,0.6,0.4667,0.4615,0.6296,4.1377,3.922,0.5234,0.2157,0.4615,0.5333,2,1,20,0.0,0.5,-0.11429999999999996,0.06659999999999999,0.006199999999999983,0.4021,-0.0016999999999995907,-0.40379999999999994,-2,-6,16,-0.06659999999999999,1.0,1.0,0.0,2,18,0
2024/2025_Grott_Trent_6Round,2024/2025,6.0,Grottazzolina,Trento,0.4444,0.4667,0.4667,0.4615,3.4927,4.0106,0.4713,-0.518,0.4667,0.4615,-3,-2,8,-2.4,0.3571,0.5395,0.5333,0.5172,0.5439,4.1632,3.6,0.4922,0.5632,0.4667,0.5333,3,2,66,1.6,0.6429,-0.09509999999999996,-0.06659999999999999,-0.02090000000000003,-1.0812,-0.6704999999999997,0.4106000000000001,-4,-6,-9,-0.06659999999999999,2.0,1.0,1.0,19,10,0
2024/2025_Lube_Sir S_6Round,2024/2025,6.0,Lube,Perugia,0.4935,0.6667,0.459,0.5769,4.4617,2.5612,0.5267,1.9006,0.6,0.6,0,5,67,-0.727,0.3889,0.5974,0.5333,0.5,0.623,3.6519,4.1684,0.4929,-0.5165,0.5333,0.6,-3,-1,67,0.614,0.6111,-0.10390000000000005,0.13339999999999996,0.03379999999999994,2.4171,0.8098000000000005,-1.6072000000000002,6,3,1,0.0,1.0,1.0,0.0,1,2,1
2024/2025_Milan_Piace_6Round,2024/2025,6.0,Milano,Piacenza,0.4605,0.4667,0.4314,0.5143,3.1041,4.3388,0.4771,-1.2347,0.5333,0.3333,-4,-1,66,-1.937,0.2778,0.5439,0.6,0.4444,0.6,4.2114,3.9172,0.5023,0.2943,0.4667,0.6,0,3,47,1.957,0.7222,-0.08340000000000003,-0.13329999999999997,-0.025199999999999945,-1.529,-1.1073000000000004,0.4216000000000002,-4,-4,-9,-0.06669999999999998,1.0,1.0,0.0,11,2,1
2024/2025_Moden_Veron_6Round,2024/2025,6.0,Modena,Verona,0.4737,0.4667,0.4833,0.4615,3.3326,3.5983,0.5044,-0.2657,0.4667,0.5333,0,1,66,2.0,0.7222,0.5195,0.5333,0.4545,0.5263,4.0409,3.564,0.4694,0.4769,0.4545,0.5333,4,1,67,-2.0,0.2778,-0.04579999999999995,-0.06659999999999999,0.034999999999999976,-0.7425999999999999,-0.7082999999999999,0.0343,0,-4,-10,-0.06659999999999999,1.0,1.0,0.0,12,2,0
