partido_id,temporada,jornada,fase,championship,equipo_local,equipo_visitante,resultado_final,set_num,puntos_local,puntos_visitante,ganador_set_local,set_largo
1988/1989_Panin_Petra_8Round,1988/1989,8 Round,1st half,Regular Season A1,Panini Modena,Petrarca Padova,3-1,2,15,10,1,0
1988/1989_Panin_Petra_8Round,1988/1989,8 Round,1st half,Regular Season A1,Panini Modena,Petrarca Padova,3-1,3,10,15,0,0
1988/1989_Panin_Petra_8Round,1988/1989,8 Round,1st half,Regular Season A1,Panini Modena,Petrarca Padova,3-1,4,15,11,1,0
1988/1989_Panin_Petra_8Round,1988/1989,8 Round,2nd half,Regular Season A1,Petrarca Padova,Panini Modena,0-3,1,6,15,0,0
1988/1989_Panin_Petra_8Round,1988/1989,8 Round,2nd half,Regular Season A1,Petrarca Padova,Panini Modena,0-3,2,6,15,0,0
1988/1989_Panin_Petra_8Round,1988/1989,8 Round,2nd half,Regular Season A1,Petrarca Padova,Panini Modena,0-3,3,10,15,0,0
1989/1990_Phili_Serna_5aRound,1989/1990,5a Round,2nd half,Regular Season A1,Philips Modena,Sernagiotto Padova,3-0,1,17,16,1,0
1989/1990_Phili_Serna_5aRound,1989/1990,5a Round,2nd half,Regular Season A1,Philips Modena,Sernagiotto Padova,3-0,2,15,11,1,0
1989/1990_Phili_Serna_5aRound,1989/1990,5a Round,2nd half,Regular Season A1,Philips Modena,Sernagiotto Padova,3-0,3,15,5,1,0
1989/1990_Phili_Serna_5aRound,1989/1990,5a Round,1st half,Regular Season A1,Sernagiotto Padova,Philips Modena,1-3,1,15,8,1,0
1989/1990_Phili_Serna_5aRound,1989/1990,5a Round,1st half,Regular Season A1,Sernagiotto Padova,Philips Modena,1-3,2,14,16,0,0
1989/1990_Phili_Serna_5aRound,1989/1990,5a Round,1st half,Regular Season A1,Sernagiotto Padova,Philips Modena,1-3,3,8,15,0,0
1989/1990_Phili_Serna_5aRound,1989/1990,5a Round,1st half,Regular Season A1,Sernagiotto Padova,Philips Modena,1-3,4,5,15,0,0
1990/1991_Charr_Phili_3aRound,1990/1991,3a Round,2nd half,Regular Season A1,Charro Padova,Philips Modena,3-0,1,16,14,1,0
1990/1991_Charr_Phili_3aRound,1990/1991,3a Round,2nd half,Regular Season A1,Charro Padova,Philips Modena,3-0,2,15,13,1,0
1990/1991_Charr_Phili_3aRound,1990/1991,3a Round,2nd half,Regular Season A1,Charro Padova,Philips Modena,3-0,3,15,10,1,0
1990/1991_Charr_Phili_3aRound,1990/1991,3a Round,1st half,Regular Season A1,Philips Modena,Charro Padova,1-3,1,13,15,0,0
1990/1991_Charr_Phili_3aRound,1990/1991,3a Round,1st half,Regular Season A1,Philips Modena,Charro Padova,1-3,2,4,15,0,0
1990/1991_Charr_Phili_3aRound,1990/1991,3a Round,1st half,Regular Season A1,Philips Modena,Charro Padova,1-3,3,15,10,1,0
1990/1991_Charr_Phili_3aRound,1990/1991,3a Round,1st half,Regular Season A1,Philips Modena,Charro Padova,1-3,4,16,17,0,0
1991/1992_Carim_Charr_8aRound,1991/1992,8a Round,2nd half,Regular Season A1,Carimonte Modena,Charro Padova,2-3,1,4,15,0,0
1991/1992_Carim_Charr_8aRound,1991/1992,8a Round,2nd half,Regular Season A1,Carimonte Modena,Charro Padova,2-3,2,17,16,1,0
1991/1992_Carim_Charr_8aRound,1991/1992,8a Round,2nd half,Regular Season A1,Carimonte Modena,Charro Padova,2-3,3,15,4,1,0
1991/1992_Carim_Charr_8aRound,1991/1992,8a Round,2nd half,Regular Season A1,Carimonte Modena,Charro Padova,2-3,4,6,15,0,0
1991/1992_Carim_Charr_8aRound,1991/1992,8a Round,2nd half,Regular Season A1,Carimonte Modena,Charro Padova,2-3,5,13,15,0,0
1991/1992_Carim_Charr_6aRound,1991/1992,6a Round,1st half,Regular Season A1,Charro Padova,Carimonte Modena,3-1,1,15,7,1,0
1991/1992_Carim_Charr_6aRound,1991/1992,6a Round,1st half,Regular Season A1,Charro Padova,Carimonte Modena,3-1,2,6,15,0,0
1991/1992_Carim_Charr_6aRound,1991/1992,6a Round,1st half,Regular Season A1,Charro Padova,Carimonte Modena,3-1,3,15,6,1,0
1991/1992_Carim_Charr_6aRound,1991/1992,6a Round,1st half,Regular Season A1,Charro Padova,Carimonte Modena,3-1,4,15,12,1,0
1992/1993_Charr_Panin_5aRound,1992/1993,5a Round,1st half,Regular Season A1,Charro Padova,Panini Modena,3-1,1,15,4,1,0
1992/1993_Charr_Panin_5aRound,1992/1993,5a Round,1st half,Regular Season A1,Charro Padova,Panini Modena,3-1,2,12,15,0,0
1992/1993_Charr_Panin_5aRound,1992/1993,5a Round,1st half,Regular Season A1,Charro Padova,Panini Modena,3-1,3,15,11,1,0
1992/1993_Charr_Panin_5aRound,1992/1993,5a Round,1st half,Regular Season A1,Charro Padova,Panini Modena,3-1,4,15,8,1,0
1992/1993_Charr_Panin_5aRound,1992/1993,5a Round,2nd half,Regular Season A1,Panini Modena,Charro Padova,3-0,1,15,10,1,0
1992/1993_Charr_Panin_5aRound,1992/1993,5a Round,2nd half,Regular Season A1,Panini Modena,Charro Padova,3-0,2,15,9,1,0
1992/1993_Charr_Panin_5aRound,1992/1993,5a Round,2nd half,Regular Season A1,Panini Modena,Charro Padova,3-0,3,17,16,1,0
1993/1994_Dayto_Ignis_9aRound,1993/1994,9a Round,1st half,Regular Season A1,Daytona Modena,Ignis Padova,3-1,1,15,10,1,0
1993/1994_Dayto_Ignis_9aRound,1993/1994,9a Round,1st half,Regular Season A1,Daytona Modena,Ignis Padova,3-1,2,11,15,0,0
1993/1994_Dayto_Ignis_9aRound,1993/1994,9a Round,1st half,Regular Season A1,Daytona Modena,Ignis Padova,3-1,3,15,13,1,0
1993/1994_Dayto_Ignis_9aRound,1993/1994,9a Round,1st half,Regular Season A1,Daytona Modena,Ignis Padova,3-1,4,15,10,1,0
1993/1994_Dayto_Ignis_9aRound,1993/1994,9a Round,2nd half,Regular Season A1,Ignis Padova,Daytona Modena,3-1,1,16,14,1,0
1993/1994_Dayto_Ignis_9aRound,1993/1994,9a Round,2nd half,Regular Season A1,Ignis Padova,Daytona Modena,3-1,2,10,15,0,0
1993/1994_Dayto_Ignis_9aRound,1993/1994,9a Round,2nd half,Regular Season A1,Ignis Padova,Daytona Modena,3-1,3,15,10,1,0
1993/1994_Dayto_Ignis_9aRound,1993/1994,9a Round,2nd half,Regular Season A1,Ignis Padova,Daytona Modena,3-1,4,16,14,1,0
1994/1995_Dayto_Ignis_10aRound,1994/1995,10a Round,1st half,Regular Season A1,Daytona Las Modena,Ignis Padova,3-0,1,15,7,1,0
1994/1995_Dayto_Ignis_10aRound,1994/1995,10a Round,1st half,Regular Season A1,Daytona Las Modena,Ignis Padova,3-0,2,15,8,1,0
1994/1995_Dayto_Ignis_10aRound,1994/1995,10a Round,1st half,Regular Season A1,Daytona Las Modena,Ignis Padova,3-0,3,15,9,1,0
1994/1995_Dayto_Ignis_10aRound,1994/1995,10a Round,2nd half,Regular Season A1,Ignis Padova,Daytona Las Modena,2-3,1,15,11,1,0
1994/1995_Dayto_Ignis_10aRound,1994/1995,10a Round,2nd half,Regular Season A1,Ignis Padova,Daytona Las Modena,2-3,2,15,11,1,0
1994/1995_Dayto_Ignis_10aRound,1994/1995,10a Round,2nd half,Regular Season A1,Ignis Padova,Daytona Las Modena,2-3,3,7,15,0,0
1994/1995_Dayto_Ignis_10aRound,1994/1995,10a Round,2nd half,Regular Season A1,Ignis Padova,Daytona Las Modena,2-3,4,7,15,0,0
1994/1995_Dayto_Ignis_10aRound,1994/1995,10a Round,2nd half,Regular Season A1,Ignis Padova,Daytona Las Modena,2-3,5,7,15,0,0
1995/1996_Las D_Lube _9aRound,1995/1996,9a Round,1st half,Regular Season A1,Las Daytona Modena,Lube Macerata,3-0,1,15,9,1,0
1995/1996_Las D_Lube _9aRound,1995/1996,9a Round,1st half,Regular Season A1,Las Daytona Modena,Lube Macerata,3-0,2,15,7,1,0
1995/1996_Las D_Lube _9aRound,1995/1996,9a Round,1st half,Regular Season A1,Las Daytona Modena,Lube Macerata,3-0,3,15,5,1,0
1995/1996_Las D_MTA P_10aRound,1995/1996,10a Round,2nd half,Regular Season A1,Las Daytona Modena,MTA Padova,3-1,1,12,15,0,0
1995/1996_Las D_MTA P_10aRound,1995/1996,10a Round,2nd half,Regular Season A1,Las Daytona Modena,MTA Padova,3-1,2,15,7,1,0
1995/1996_Las D_MTA P_10aRound,1995/1996,10a Round,2nd half,Regular Season A1,Las Daytona Modena,MTA Padova,3-1,3,15,9,1,0
1995/1996_Las D_MTA P_10aRound,1995/1996,10a Round,2nd half,Regular Season A1,Las Daytona Modena,MTA Padova,3-1,4,15,10,1,0
1995/1996_Las D_Lube _9aRound,1995/1996,9a Round,2nd half,Regular Season A1,Lube Macerata,Las Daytona Modena,3-2,1,11,15,0,0
1995/1996_Las D_Lube _9aRound,1995/1996,9a Round,2nd half,Regular Season A1,Lube Macerata,Las Daytona Modena,3-2,2,15,7,1,0
1995/1996_Las D_Lube _9aRound,1995/1996,9a Round,2nd half,Regular Season A1,Lube Macerata,Las Daytona Modena,3-2,3,14,16,0,0
1995/1996_Las D_Lube _9aRound,1995/1996,9a Round,2nd half,Regular Season A1,Lube Macerata,Las Daytona Modena,3-2,4,17,15,1,0
1995/1996_Las D_Lube _9aRound,1995/1996,9a Round,2nd half,Regular Season A1,Lube Macerata,Las Daytona Modena,3-2,5,15,11,1,0
1995/1996_Lube _MTA P_2aRound,1995/1996,2a Round,1st half,Regular Season A1,Lube Macerata,MTA Padova,2-3,1,5,15,0,0
1995/1996_Lube _MTA P_2aRound,1995/1996,2a Round,1st half,Regular Season A1,Lube Macerata,MTA Padova,2-3,2,15,10,1,0
1995/1996_Lube _MTA P_2aRound,1995/1996,2a Round,1st half,Regular Season A1,Lube Macerata,MTA Padova,2-3,3,12,15,0,0
1995/1996_Lube _MTA P_2aRound,1995/1996,2a Round,1st half,Regular Season A1,Lube Macerata,MTA Padova,2-3,4,16,14,1,0
1995/1996_Lube _MTA P_2aRound,1995/1996,2a Round,1st half,Regular Season A1,Lube Macerata,MTA Padova,2-3,5,15,17,0,1
1995/1996_Las D_MTA P_10aRound,1995/1996,10a Round,1st half,Regular Season A1,MTA Padova,Las Daytona Modena,2-3,1,16,14,1,0
1995/1996_Las D_MTA P_10aRound,1995/1996,10a Round,1st half,Regular Season A1,MTA Padova,Las Daytona Modena,2-3,2,4,15,0,0
1995/1996_Las D_MTA P_10aRound,1995/1996,10a Round,1st half,Regular Season A1,MTA Padova,Las Daytona Modena,2-3,3,11,15,0,0
1995/1996_Las D_MTA P_10aRound,1995/1996,10a Round,1st half,Regular Season A1,MTA Padova,Las Daytona Modena,2-3,4,15,11,1,0
1995/1996_Las D_MTA P_10aRound,1995/1996,10a Round,1st half,Regular Season A1,MTA Padova,Las Daytona Modena,2-3,5,14,16,0,1
1995/1996_Lube _MTA P_2aRound,1995/1996,2a Round,2nd half,Regular Season A1,MTA Padova,Lube Macerata,3-1,1,13,15,0,0
1995/1996_Lube _MTA P_2aRound,1995/1996,2a Round,2nd half,Regular Season A1,MTA Padova,Lube Macerata,3-1,2,15,4,1,0
1995/1996_Lube _MTA P_2aRound,1995/1996,2a Round,2nd half,Regular Season A1,MTA Padova,Lube Macerata,3-1,3,15,6,1,0
1995/1996_Lube _MTA P_2aRound,1995/1996,2a Round,2nd half,Regular Season A1,MTA Padova,Lube Macerata,3-1,4,15,6,1,0
1996/1997_Las D_LubeB_10aRound,1996/1997,10a Round,1st half,Regular Season A1,Las Daytona Modena,LubeBanca Marche,3-0,1,15,9,1,0
1996/1997_Las D_LubeB_10aRound,1996/1997,10a Round,1st half,Regular Season A1,Las Daytona Modena,LubeBanca Marche,3-0,2,16,14,1,0
1996/1997_Las D_LubeB_10aRound,1996/1997,10a Round,1st half,Regular Season A1,Las Daytona Modena,LubeBanca Marche,3-0,3,15,7,1,0
1996/1997_Las D_MTA P_2aRound,1996/1997,2a Round,2nd half,Regular Season A1,Las Daytona Modena,MTA Padova,3-0,1,15,7,1,0
